Day Monday
CRN    Dept  Coursenum  Class Title                     Start Time  End Time  Room
64706  CSCI  4963-01    LARGE-SCALE_PROG_AND_TESTING    10:00AM     11:50AM   PITTS_4114 
65165  CSCI  6220-01    RANDOMIZED_ALGORITHMS           10:00AM     11:50AM   DARRIN_239 
63681  CSCI  6230-01    CRYPT_AND_NETWORK_SECURITY_I    10:00AM     11:50AM   GREENE_120 
61558  CSCI  6800-01    COMPUTATIONAL_LINEAR_ALGEBRA    10:00AM     11:50AM   LOW_3039   
64707  CSCI  6963-01    LARGE-SCALE_PROG_AND_TESTING    10:00AM     11:50AM   PITTS_4114 
63621  ECON  2020-01    INTERMEDIATE_MACROECON_THEORY   10:00AM     11:50AM   SAGE_3713  
64226  ECSE  4110-01    POWER_ENGINEERING_ANALYSIS      10:00AM     11:20AM   JONSSN_6309
63144  ECSE  4530-01    DIGITAL_SIGNAL_PROCESSING       10:00AM     11:20AM   JONSSN_4104
61556  ECSE  4900-01    MULTIDISCIPLINARY_CAP_DESIGN    10:00AM     11:50AM   JONSSN_3332
62974  ECSE  6110-01    POWER_ENGINEERING_ANALYSIS      10:00AM     11:20AM   JONSSN_6309
61010  ENGR  1100-02    INTRO_TO_ENGR_ANALYSIS          10:00AM     11:50AM   TROY_2018  
61503  ENGR  1600-02    MATERIALS_SCIENCE_FOR_ENGINEER  10:00AM     11:50AM   WALKER_6113
62717  ENGR  2050-02    INTRO_ENGINEERING_DESIGN        10:00AM     11:50AM   JONSSN_3210
61365  ENGR  2050-03    INTRO_ENGINEERING_DESIGN        10:00AM     11:50AM   JONSSN_4309
64502  ENGR  2050-14    INTRO_ENGR_DESIGN               10:00AM     11:50AM   LOW_3116   
62531  ENGR  2090-02    ENGINEERING_DYNAMICS            10:00AM     11:50AM   SAGE_4101  
64382  ENGR  2090-04    ENGINEERING_DYNAMICS            10:00AM     11:50AM   LOW_3045   
65349  ENGR  2090-6     Engineering_Dynamics            10:00AM     11:50AM   LOW_4034   
61038  ENGR  2530-01    STRENGTH_OF_MATERIALS           10:00AM     11:50AM   RCKTTS_211 
61192  ENVE  2110-01    INTRODUCTION_TO_ENV._ENGR.      10:00AM     11:50AM   LOW_4050   
64480  ERTH  1100-01    GEOLOGY_I:_EARTH'S_INTERIOR     10:00AM     11:50AM   SAGE_5101  
64481  ERTH  1100-02    GEOLOGY_I:_EARTH'S_INTERIOR     10:00AM     11:50AM   SAGE_5101  
64482  ERTH  1100-03    GEOLOGY_I:_EARTH'S_INTERIOR     10:00AM     11:50AM   SAGE_5101  
65061  ERTH  4200-01    APPLIED_MICROPALEONTOLOGY       10:00AM     11:50AM   J-ROWL_3W13
65065  ERTH  6200-01    ADV_APPLIED_MICROPALEONTOLOGY   10:00AM     11:50AM   J-ROWL_3W13
65039  GSAS  2510-02    INTRO_TO_GAME_DESIGN            10:00AM     11:50AM   SAGE_2510  
65025  IHSS  1010-01    EXPLORING_MUSIC_@_RENSSELAER    10:00AM     11:50AM   WEST_326   
65396  IHSS  1010-02    EXPLORING_MUSIC_@_RENSSELAER    10:00AM     11:50AM   WEST_323   
65339  IHSS  1290-01    AMERICAN_POLITICS_IN_CRISIS     10:00AM     11:50AM   SAGE_5711  
64821  IHSS  1977-01    WAR_&_TECH_PAST,PRES,FUTURE     10:00AM     11:50AM   WEST_112   
64579  ISCI  1600-02    MATERIALS_SCIENCE               10:00AM     11:50AM   WALKER_6113
61001  ISYE  4140-01    STATISTICAL_ANALYSIS            10:00AM     11:50AM   SAGE_5510  
62535  ISYE  4270-01    MULTIDISCIPLINARY_CAP_DESIGN    10:00AM     11:50AM   JONSSN_3332
